expense_id,rep_id,expense_date,category,amount_inr,reimbursed,policy_compliant,notes
EXP-20240622-001,REP-014,2024-06-22,Travel,1401,true,true,Bus fare
EXP-20240630-001,REP-014,2024-06-30,Food,132,true,true,Team lunch with HCP
EXP-20240704-001,REP-014,2024-07-04,Food,402,true,false,Team lunch with HCP
EXP-20240715-001,REP-014,2024-07-15,Food,259,true,true,Working lunch
EXP-20240715-002,REP-014,2024-07-15,Lodging,1948,true,true,Lodging — outstation visit
EXP-20240718-001,REP-014,2024-07-18,Travel,926,true,true,Train ticket
EXP-20240723-001,REP-014,2024-07-23,Food,493,true,true,Coffee meeting
EXP-20240728-001,REP-014,2024-07-28,Travel,1449,true,true,Fuel reimbursement
EXP-20240806-001,REP-014,2024-08-06,Travel,437,true,true,Bus fare
EXP-20240812-001,REP-014,2024-08-12,Food,167,true,true,Dinner with HCP
EXP-20240818-001,REP-014,2024-08-18,Travel,1666,true,true,Train ticket
EXP-20240825-001,REP-014,2024-08-25,Food,135,true,true,Team lunch with HCP
EXP-20240831-001,REP-014,2024-08-31,Food,282,true,true,Dinner with HCP
EXP-20240907-001,REP-014,2024-09-07,Lodging,2110,true,true,Lodging — outstation visit
EXP-20240905-001,REP-014,2024-09-05,Travel,423,true,false,Train ticket
EXP-20240913-001,REP-014,2024-09-13,Lodging,3591,false,true,Hotel stay — field trip
EXP-20240913-002,REP-014,2024-09-13,Travel,827,true,true,Cab to hospital
EXP-20240924-001,REP-014,2024-09-24,Lodging,2615,true,true,Guest house — 2 nights
EXP-20240922-001,REP-014,2024-09-22,Food,162,true,true,Working lunch
EXP-20241001-001,REP-014,2024-10-01,Samples,346,true,true,Demo kit refill
EXP-20241002-001,REP-014,2024-10-02,Travel,805,true,true,Bus fare
EXP-20241009-001,REP-014,2024-10-09,Food,658,true,true,Team lunch with HCP
EXP-20241012-001,REP-014,2024-10-12,Lodging,2376,true,true,Guest house — 2 nights
EXP-20241018-001,REP-014,2024-10-18,Travel,521,true,true,Fuel reimbursement
EXP-20241017-001,REP-014,2024-10-17,Travel,804,true,true,Bus fare
EXP-20241026-001,REP-014,2024-10-26,Food,659,true,true,Working lunch
EXP-20241105-001,REP-014,2024-11-05,Lodging,3671,true,true,Guest house — 2 nights
EXP-20241105-002,REP-014,2024-11-05,Travel,684,true,true,Cab to hospital
EXP-20241106-001,REP-014,2024-11-06,Travel,1426,true,true,Bus fare
EXP-20241108-001,REP-014,2024-11-08,Travel,1261,true,true,Auto to clinic
EXP-20241115-001,REP-014,2024-11-15,Food,736,true,false,Coffee meeting
EXP-20241114-001,REP-014,2024-11-14,Travel,1057,true,true,Auto to clinic
EXP-20241125-001,REP-014,2024-11-25,Travel,703,true,false,Train ticket
EXP-20241125-002,REP-014,2024-11-25,Travel,888,false,true,Fuel reimbursement
EXP-20241201-001,REP-014,2024-12-01,Food,122,true,true,Coffee meeting
EXP-20241205-001,REP-014,2024-12-05,Samples,793,true,true,Product samples drop
EXP-20241212-001,REP-014,2024-12-12,Lodging,3883,true,true,Lodging — outstation visit
EXP-20241215-001,REP-014,2024-12-15,Mobile,432,true,true,Internet recharge
EXP-20241218-001,REP-014,2024-12-18,Travel,1063,true,true,Auto to clinic
EXP-20241219-001,REP-014,2024-12-19,Travel,1974,true,true,Train ticket
EXP-20241230-001,REP-014,2024-12-30,Lodging,2664,true,true,Lodging — outstation visit
EXP-20241227-001,REP-014,2024-12-27,Travel,275,true,true,Bus fare
EXP-20250103-001,REP-014,2025-01-03,Food,500,true,true,Snacks for meeting
EXP-20250110-001,REP-014,2025-01-10,Food,392,true,true,Dinner with HCP
EXP-20250108-001,REP-014,2025-01-08,Travel,506,true,false,Cab to hospital
EXP-20250117-001,REP-014,2025-01-17,Travel,1434,true,true,Bus fare
EXP-20250124-001,REP-014,2025-01-24,Lodging,2987,true,true,Guest house — 2 nights
EXP-20250203-001,REP-014,2025-02-03,Travel,560,true,true,Bus fare
EXP-20250202-001,REP-014,2025-02-02,Mobile,268,true,true,Roaming charges
EXP-20250207-001,REP-014,2025-02-07,Lodging,3639,true,true,Guest house — 2 nights
EXP-20250217-001,REP-014,2025-02-17,Food,279,true,false,Dinner with HCP
EXP-20250214-001,REP-014,2025-02-14,Lodging,3759,true,true,Guest house — 2 nights
EXP-20250220-001,REP-014,2025-02-20,Food,244,true,true,Working lunch
EXP-20250222-001,REP-014,2025-02-22,Food,468,false,true,Dinner with HCP
EXP-20250304-001,REP-014,2025-03-04,Travel,1178,true,true,Bus fare
EXP-20250305-001,REP-014,2025-03-05,Food,585,false,true,Coffee meeting
EXP-20250306-001,REP-014,2025-03-06,Mobile,540,true,true,Mobile bill
EXP-20250317-001,REP-014,2025-03-17,Food,279,true,true,Snacks for meeting
EXP-20250320-001,REP-014,2025-03-20,Samples,863,false,true,Sample packs for HCP
EXP-20250322-001,REP-014,2025-03-22,Mobile,673,false,true,Internet recharge
EXP-20250331-001,REP-014,2025-03-31,Travel,1082,true,false,Fuel reimbursement
EXP-20250328-001,REP-014,2025-03-28,Other,1511,true,true,Misc expense
EXP-20250408-001,REP-014,2025-04-08,Travel,1939,true,false,Train ticket
EXP-20250410-001,REP-014,2025-04-10,Lodging,1609,true,true,Guest house — 2 nights
EXP-20250412-001,REP-014,2025-04-12,Travel,896,true,true,Auto to clinic
EXP-20250422-001,REP-014,2025-04-22,Food,702,true,true,Working lunch
EXP-20250425-001,REP-014,2025-04-25,Travel,816,true,true,Cab to hospital
EXP-20250429-001,REP-014,2025-04-29,Travel,1090,false,true,Fuel reimbursement
EXP-20250506-001,REP-014,2025-05-06,Samples,1114,true,true,Demo kit refill
EXP-20250509-001,REP-014,2025-05-09,Lodging,3719,true,true,Hotel stay — field trip
EXP-20250510-001,REP-014,2025-05-10,Food,331,true,true,Coffee meeting
EXP-20250519-001,REP-014,2025-05-19,Mobile,638,true,true,Roaming charges
EXP-20250520-001,REP-014,2025-05-20,Conference,1442,false,true,Conference registration
EXP-20250521-001,REP-014,2025-05-21,Travel,1404,true,true,Cab to hospital
EXP-20250526-001,REP-014,2025-05-26,Food,208,false,true,Snacks for meeting
EXP-20250601-001,REP-014,2025-06-01,Food,185,false,false,Coffee meeting
EXP-20250531-001,REP-014,2025-05-31,Samples,514,true,true,Sample packs for HCP
EXP-20250610-001,REP-014,2025-06-10,Travel,341,true,true,Bus fare
EXP-20250612-001,REP-014,2025-06-12,Travel,312,true,true,Auto to clinic
EXP-20250611-001,REP-014,2025-06-11,Mobile,542,true,true,Mobile bill
EXP-20250623-001,REP-014,2025-06-23,Travel,518,true,true,Train ticket
EXP-20250622-001,REP-014,2025-06-22,Travel,876,true,true,Auto to clinic
EXP-20250630-001,REP-014,2025-06-30,Travel,980,true,true,Auto to clinic
EXP-20250628-001,REP-014,2025-06-28,Conference,2565,false,true,Conference registration
EXP-20250708-001,REP-014,2025-07-08,Travel,1959,true,true,Auto to clinic
EXP-20250708-002,REP-014,2025-07-08,Food,387,true,true,Snacks for meeting
EXP-20250709-001,REP-014,2025-07-09,Samples,1381,true,true,Product samples drop
EXP-20250721-001,REP-014,2025-07-21,Travel,1902,false,true,Fuel reimbursement
EXP-20250716-001,REP-014,2025-07-16,Food,455,true,true,Snacks for meeting
EXP-20250725-001,REP-014,2025-07-25,Lodging,3812,true,true,Hotel stay — field trip
EXP-20250729-001,REP-014,2025-07-29,Travel,859,false,true,Fuel reimbursement
EXP-20250803-001,REP-014,2025-08-03,Lodging,3074,true,true,Lodging — outstation visit
EXP-20250807-001,REP-014,2025-08-07,Travel,706,true,true,Auto to clinic
EXP-20250811-001,REP-014,2025-08-11,Food,303,true,true,Team lunch with HCP
EXP-20250818-001,REP-014,2025-08-18,Travel,316,true,true,Cab to hospital
EXP-20250817-001,REP-014,2025-08-17,Travel,1235,true,true,Auto to clinic
EXP-20250821-001,REP-014,2025-08-21,Samples,571,true,true,Sample packs for HCP
EXP-20250825-001,REP-014,2025-08-25,Travel,1332,true,true,Auto to clinic
EXP-20250829-001,REP-014,2025-08-29,Travel,1314,true,true,Cab to hospital
EXP-20250904-001,REP-014,2025-09-04,Food,355,true,true,Dinner with HCP
EXP-20250912-001,REP-014,2025-09-12,Food,340,true,false,Team lunch with HCP
EXP-20250919-001,REP-014,2025-09-19,Lodging,1906,true,true,Lodging — outstation visit
EXP-20250929-001,REP-014,2025-09-29,Lodging,3460,true,true,Hotel stay — field trip
EXP-20251002-001,REP-014,2025-10-02,Travel,1360,true,true,Cab to hospital
EXP-20251003-001,REP-014,2025-10-03,Travel,1100,true,true,Auto to clinic
EXP-20251011-001,REP-014,2025-10-11,Food,394,true,true,Working lunch
EXP-20251016-001,REP-014,2025-10-16,Samples,820,true,true,Product samples drop
