invoice_id,distributor_id,rep_id,hcp_id,product_id,qty_packs,unit_price_inr,discount_pct,net_value_inr,invoice_date,channel
INV-20230401-001,DIST-020,REP-040,HCP-0003,PRD-RESP-01,46,127,0.03,5666,2023-04-01,Hospital
INV-20230405-001,DIST-028,REP-018,HCP-0005,PRD-CARD-01,70,297,0.04,19958,2023-04-05,Hospital
INV-20230420-001,DIST-017,REP-018,HCP-0005,PRD-DIAB-01,87,102,0.11,7897,2023-04-20,Stockist
INV-20230403-001,DIST-034,REP-036,HCP-0008,PRD-CARD-02,28,238,0.05,6330,2023-04-03,Retail
INV-20230408-001,DIST-025,REP-033,HCP-0019,PRD-DIAB-02,61,408,0.05,23643,2023-04-08,Retail
INV-20230419-001,DIST-033,REP-033,HCP-0019,PRD-DIAB-01,67,102,0.08,6287,2023-04-19,Stockist
INV-20230420-002,DIST-001,REP-033,HCP-0020,PRD-GI-02,24,187,0.05,4263,2023-04-20,Stockist
INV-20230413-001,DIST-024,REP-036,HCP-0020,PRD-GI-01,56,76,0.02,4170,2023-04-13,Institution
INV-20230401-002,DIST-031,REP-019,HCP-0025,PRD-DIAB-01,18,102,0.08,1689,2023-04-01,Stockist
INV-20230406-001,DIST-009,REP-019,HCP-0025,PRD-DIAB-01,31,102,0.11,2814,2023-04-06,Stockist
INV-20230421-001,DIST-037,REP-040,HCP-0039,PRD-DIAB-02,62,408,0.04,24284,2023-04-21,Retail
INV-20230417-001,DIST-030,REP-044,HCP-0040,PRD-DIAB-01,16,102,0.09,1485,2023-04-17,Retail
INV-20230408-002,DIST-006,REP-040,HCP-0042,PRD-GI-01,19,76,0.11,1285,2023-04-08,Stockist
INV-20230419-002,DIST-025,REP-036,HCP-0045,PRD-DIAB-02,32,408,0.12,11489,2023-04-19,Retail
INV-20230413-002,DIST-018,REP-018,HCP-0045,PRD-DIAB-02,74,408,0.03,29286,2023-04-13,Retail
INV-20230427-001,DIST-021,REP-018,HCP-0045,PRD-DIAB-02,26,408,0.05,10077,2023-04-27,Stockist
INV-20230419-003,DIST-035,REP-016,HCP-0046,PRD-DIAB-02,78,408,0.08,29278,2023-04-19,Hospital
INV-20230421-002,DIST-009,REP-016,HCP-0046,PRD-CARD-01,36,297,0.12,9408,2023-04-21,Hospital
INV-20230421-003,DIST-026,REP-017,HCP-0047,PRD-DIAB-01,41,102,0.08,3847,2023-04-21,Hospital
INV-20230413-003,DIST-032,REP-017,HCP-0047,PRD-GI-01,13,76,0.03,958,2023-04-13,Retail
INV-20230428-001,DIST-035,REP-047,HCP-0052,PRD-DIAB-02,35,408,0.11,12709,2023-04-28,Stockist
INV-20230408-003,DIST-030,REP-047,HCP-0052,PRD-CARD-01,41,297,0.09,11081,2023-04-08,Retail
INV-20230412-001,DIST-010,REP-049,HCP-0053,PRD-CARD-02,71,238,0.11,15039,2023-04-12,Institution
INV-20230404-001,DIST-027,REP-049,HCP-0053,PRD-GI-02,35,187,0.08,6021,2023-04-04,Hospital
INV-20230412-002,DIST-032,REP-015,HCP-0056,PRD-CARD-01,43,297,0.08,11749,2023-04-12,Hospital
INV-20230412-003,DIST-013,REP-040,HCP-0057,PRD-DIAB-01,70,102,0.05,6783,2023-04-12,Stockist
INV-20230414-001,DIST-026,REP-045,HCP-0062,PRD-RESP-01,5,127,0.10,571,2023-04-14,Hospital
INV-20230415-001,DIST-008,REP-019,HCP-0072,PRD-DIAB-02,31,408,0.03,12268,2023-04-15,Stockist
INV-20230421-004,DIST-001,REP-044,HCP-0075,PRD-RESP-01,116,127,0.11,13111,2023-04-21,Stockist
INV-20230408-004,DIST-033,REP-044,HCP-0075,PRD-GI-02,82,187,0.04,14720,2023-04-08,Institution
INV-20230412-004,DIST-027,REP-044,HCP-0075,PRD-DIAB-01,50,102,0.05,4845,2023-04-12,Institution
INV-20230418-001,DIST-022,REP-044,HCP-0076,PRD-DIAB-01,36,102,0.11,3268,2023-04-18,Hospital
INV-20230421-005,DIST-018,REP-043,HCP-0081,PRD-RESP-01,52,127,0.11,5877,2023-04-21,Stockist
INV-20230422-001,DIST-036,REP-044,HCP-0081,PRD-DIAB-02,80,408,0.11,29049,2023-04-22,Stockist
INV-20230411-001,DIST-037,REP-038,HCP-0083,PRD-GI-02,43,187,0.05,7638,2023-04-11,Stockist
INV-20230419-004,DIST-020,REP-033,HCP-0083,PRD-GI-01,84,76,0.11,5681,2023-04-19,Hospital
INV-20230422-002,DIST-034,REP-038,HCP-0083,PRD-GI-02,78,187,0.10,13127,2023-04-22,Retail
INV-20230428-002,DIST-037,REP-028,HCP-0090,PRD-DIAB-01,37,102,0.11,3358,2023-04-28,Retail
INV-20230418-002,DIST-011,REP-028,HCP-0090,PRD-GI-01,54,76,0.08,3775,2023-04-18,Institution
INV-20230427-002,DIST-035,REP-046,HCP-0101,PRD-CARD-01,80,297,0.11,21146,2023-04-27,Institution
INV-20230414-002,DIST-022,REP-025,HCP-0109,PRD-GI-01,42,76,0.09,2904,2023-04-14,Retail
INV-20230408-005,DIST-040,REP-031,HCP-0110,PRD-GI-01,82,76,0.11,5546,2023-04-08,Hospital
INV-20230421-006,DIST-015,REP-028,HCP-0110,PRD-GI-02,74,187,0.09,12592,2023-04-21,Institution
