target_id,rep_id,product_id,fy,quarter,target_qty,target_value_inr
TGT-2024Q1-REP006-CARD01,REP-006,PRD-CARD-01,2024,Q1,538,134514
TGT-2024Q1-REP006-RESP03,REP-006,PRD-RESP-03,2024,Q1,354,66403
TGT-2024Q1-REP006-RESP02,REP-006,PRD-RESP-02,2024,Q1,354,66403
TGT-2024Q1-REP006-CARD03,REP-006,PRD-CARD-03,2024,Q1,538,134514
TGT-2024Q1-REP006-GI03,REP-006,PRD-GI-03,2024,Q1,391,47242
TGT-2024Q1-REP006-GI01,REP-006,PRD-GI-01,2024,Q1,391,47242
TGT-2024Q2-REP006-CARD01,REP-006,PRD-CARD-01,2024,Q2,538,134514
TGT-2024Q2-REP006-RESP03,REP-006,PRD-RESP-03,2024,Q2,354,66403
TGT-2024Q2-REP006-RESP02,REP-006,PRD-RESP-02,2024,Q2,354,66403
TGT-2024Q2-REP006-CARD03,REP-006,PRD-CARD-03,2024,Q2,538,134514
TGT-2024Q2-REP006-GI03,REP-006,PRD-GI-03,2024,Q2,391,47242
TGT-2024Q2-REP006-GI01,REP-006,PRD-GI-01,2024,Q2,391,47242
TGT-2024Q3-REP006-CARD01,REP-006,PRD-CARD-01,2024,Q3,538,134514
TGT-2024Q3-REP006-RESP03,REP-006,PRD-RESP-03,2024,Q3,354,66403
TGT-2024Q3-REP006-RESP02,REP-006,PRD-RESP-02,2024,Q3,354,66403
TGT-2024Q3-REP006-CARD03,REP-006,PRD-CARD-03,2024,Q3,538,134514
TGT-2024Q3-REP006-GI03,REP-006,PRD-GI-03,2024,Q3,391,47242
TGT-2024Q3-REP006-GI01,REP-006,PRD-GI-01,2024,Q3,391,47242
TGT-2024Q1-REP007-CARD02,REP-007,PRD-CARD-02,2024,Q1,533,133257
TGT-2024Q1-REP007-DIAB03,REP-007,PRD-DIAB-03,2024,Q1,546,129764
TGT-2024Q1-REP007-DIAB02,REP-007,PRD-DIAB-02,2024,Q1,546,129764
TGT-2024Q1-REP007-DIAB01,REP-007,PRD-DIAB-01,2024,Q1,546,129764
TGT-2024Q1-REP007-GI01,REP-007,PRD-GI-01,2024,Q1,387,46801
TGT-2024Q1-REP007-GI03,REP-007,PRD-GI-03,2024,Q1,387,46801
TGT-2024Q2-REP007-CARD02,REP-007,PRD-CARD-02,2024,Q2,533,133257
TGT-2024Q2-REP007-DIAB03,REP-007,PRD-DIAB-03,2024,Q2,546,129764
TGT-2024Q2-REP007-DIAB02,REP-007,PRD-DIAB-02,2024,Q2,546,129764
TGT-2024Q2-REP007-DIAB01,REP-007,PRD-DIAB-01,2024,Q2,546,129764
TGT-2024Q2-REP007-GI01,REP-007,PRD-GI-01,2024,Q2,387,46801
TGT-2024Q2-REP007-GI03,REP-007,PRD-GI-03,2024,Q2,387,46801
TGT-2024Q3-REP007-CARD02,REP-007,PRD-CARD-02,2024,Q3,533,133257
TGT-2024Q3-REP007-DIAB03,REP-007,PRD-DIAB-03,2024,Q3,546,129764
TGT-2024Q3-REP007-DIAB02,REP-007,PRD-DIAB-02,2024,Q3,546,129764
TGT-2024Q3-REP007-DIAB01,REP-007,PRD-DIAB-01,2024,Q3,546,129764
TGT-2024Q3-REP007-GI01,REP-007,PRD-GI-01,2024,Q3,387,46801
TGT-2024Q3-REP007-GI03,REP-007,PRD-GI-03,2024,Q3,387,46801
TGT-2024Q4-REP007-CARD02,REP-007,PRD-CARD-02,2024,Q4,533,133257
TGT-2024Q4-REP007-DIAB03,REP-007,PRD-DIAB-03,2024,Q4,546,129764
TGT-2024Q4-REP007-DIAB02,REP-007,PRD-DIAB-02,2024,Q4,546,129764
TGT-2024Q4-REP007-DIAB01,REP-007,PRD-DIAB-01,2024,Q4,546,129764
TGT-2024Q4-REP007-GI01,REP-007,PRD-GI-01,2024,Q4,387,46801
TGT-2024Q4-REP007-GI03,REP-007,PRD-GI-03,2024,Q4,387,46801
TGT-2025Q1-REP007-CARD02,REP-007,PRD-CARD-02,2025,Q1,246,68711
TGT-2025Q1-REP007-DIAB03,REP-007,PRD-DIAB-03,2025,Q1,274,68439
TGT-2025Q1-REP007-DIAB02,REP-007,PRD-DIAB-02,2025,Q1,274,68439
TGT-2025Q1-REP007-DIAB01,REP-007,PRD-DIAB-01,2025,Q1,274,68439
TGT-2025Q1-REP007-GI01,REP-007,PRD-GI-01,2025,Q1,195,27727
TGT-2025Q1-REP007-GI03,REP-007,PRD-GI-03,2025,Q1,195,27727
TGT-2025Q2-REP007-CARD02,REP-007,PRD-CARD-02,2025,Q2,246,68711
TGT-2025Q2-REP007-DIAB03,REP-007,PRD-DIAB-03,2025,Q2,274,68439
TGT-2025Q2-REP007-DIAB02,REP-007,PRD-DIAB-02,2025,Q2,274,68439
TGT-2025Q2-REP007-DIAB01,REP-007,PRD-DIAB-01,2025,Q2,274,68439
TGT-2025Q2-REP007-GI01,REP-007,PRD-GI-01,2025,Q2,195,27727
TGT-2025Q2-REP007-GI03,REP-007,PRD-GI-03,2025,Q2,195,27727
TGT-2025Q3-REP007-CARD02,REP-007,PRD-CARD-02,2025,Q3,246,68711
TGT-2025Q3-REP007-DIAB03,REP-007,PRD-DIAB-03,2025,Q3,274,68439
TGT-2025Q3-REP007-DIAB02,REP-007,PRD-DIAB-02,2025,Q3,274,68439
TGT-2025Q3-REP007-DIAB01,REP-007,PRD-DIAB-01,2025,Q3,274,68439
TGT-2025Q3-REP007-GI01,REP-007,PRD-GI-01,2025,Q3,195,27727
TGT-2025Q3-REP007-GI03,REP-007,PRD-GI-03,2025,Q3,195,27727
TGT-2025Q4-REP007-CARD02,REP-007,PRD-CARD-02,2025,Q4,246,68711
TGT-2025Q4-REP007-DIAB03,REP-007,PRD-DIAB-03,2025,Q4,274,68439
TGT-2025Q4-REP007-DIAB02,REP-007,PRD-DIAB-02,2025,Q4,274,68439
TGT-2025Q4-REP007-DIAB01,REP-007,PRD-DIAB-01,2025,Q4,274,68439
TGT-2025Q4-REP007-GI01,REP-007,PRD-GI-01,2025,Q4,195,27727
TGT-2025Q4-REP007-GI03,REP-007,PRD-GI-03,2025,Q4,195,27727
TGT-2024Q1-REP008-CARD02,REP-008,PRD-CARD-02,2024,Q1,538,134514
TGT-2024Q1-REP008-DIAB03,REP-008,PRD-DIAB-03,2024,Q1,551,130989
TGT-2024Q1-REP008-CARD01,REP-008,PRD-CARD-01,2024,Q1,538,134514
TGT-2024Q1-REP008-GI02,REP-008,PRD-GI-02,2024,Q1,391,47242
TGT-2024Q1-REP008-RESP01,REP-008,PRD-RESP-01,2024,Q1,354,66403
TGT-2024Q1-REP008-RESP02,REP-008,PRD-RESP-02,2024,Q1,354,66403
TGT-2024Q1-REP009-DIAB01,REP-009,PRD-DIAB-01,2024,Q1,525,124868
TGT-2024Q1-REP009-CARD01,REP-009,PRD-CARD-01,2024,Q1,513,128228
TGT-2024Q1-REP009-CARD03,REP-009,PRD-CARD-03,2024,Q1,513,128228
TGT-2024Q1-REP009-GI02,REP-009,PRD-GI-02,2024,Q1,373,45034
TGT-2024Q1-REP009-RESP03,REP-009,PRD-RESP-03,2024,Q1,337,63300
TGT-2024Q1-REP009-RESP02,REP-009,PRD-RESP-02,2024,Q1,337,63300
TGT-2024Q2-REP009-DIAB01,REP-009,PRD-DIAB-01,2024,Q2,525,124868
TGT-2024Q2-REP009-CARD01,REP-009,PRD-CARD-01,2024,Q2,513,128228
TGT-2024Q2-REP009-CARD03,REP-009,PRD-CARD-03,2024,Q2,513,128228
TGT-2024Q2-REP009-GI02,REP-009,PRD-GI-02,2024,Q2,373,45034
TGT-2024Q2-REP009-RESP03,REP-009,PRD-RESP-03,2024,Q2,337,63300
TGT-2024Q2-REP009-RESP02,REP-009,PRD-RESP-02,2024,Q2,337,63300
TGT-2024Q3-REP009-DIAB01,REP-009,PRD-DIAB-01,2024,Q3,525,124868
TGT-2024Q3-REP009-CARD01,REP-009,PRD-CARD-01,2024,Q3,513,128228
TGT-2024Q3-REP009-CARD03,REP-009,PRD-CARD-03,2024,Q3,513,128228
TGT-2024Q3-REP009-GI02,REP-009,PRD-GI-02,2024,Q3,373,45034
TGT-2024Q3-REP009-RESP03,REP-009,PRD-RESP-03,2024,Q3,337,63300
TGT-2024Q3-REP009-RESP02,REP-009,PRD-RESP-02,2024,Q3,337,63300
TGT-2024Q4-REP009-DIAB01,REP-009,PRD-DIAB-01,2024,Q4,525,124868
TGT-2024Q4-REP009-CARD01,REP-009,PRD-CARD-01,2024,Q4,513,128228
